name,address,cuisine,average_price,rating,reviews,offer,url,is_excluded
Wandering Grapes,"24 Inverness Street, NW1 7HJ, London",French,25,9.6,41,50,https://www.thefork.co.uk/restaurant/wandering-grapes-r855218#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Palungo Nepali Restaurant,"259 Malpas Road, SE4 1BH, London",Indian,27,8.6,97,30,https://www.thefork.co.uk/restaurant/palungo-nepali-restaurant-r818066#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The India - Cannon Street,"21 College Hill, Cannon Street, EC4R 2RP, London",Indian,22,8.4,71,30,https://www.thefork.co.uk/restaurant/the-india-cannon-street-r852307#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gazette Clerkenwell,"86-88 Clerkenwell Road, EC1M 5RJ, London",French,29,9.1,420,50,https://www.thefork.co.uk/restaurant/gazette-clerkenwell-r830258#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Corretto By the Canal,"3 Water Lane, NW1 8NZ, London",British,22,9.1,918,50,https://www.thefork.co.uk/restaurant/corretto-by-the-canal-r812305#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Muhib Indian Cuisine,"73 Brick Lane, E1 6QL, London",Indian,25,9.1,238,50,https://www.thefork.co.uk/restaurant/muhib-indian-cuisine-r723564#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Soak Bar and Restaurant,"101 Buckingham Palace Road, London, UK, SW1W 0SJ, London",Asian,22,9.1,792,50,https://www.thefork.co.uk/restaurant/the-soak-bar-and-restaurant-r599247#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Primos Mexican Cantina,"17 Blackstock Road, N4 2JF, London",Mexican,25,8.6,851,20,https://www.thefork.co.uk/restaurant/primos-mexican-cantina-r715432#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Bandra Bhai Cocktail Bar,"79-81 Mortimer Street, W1W 7SJ, London",Indian,20,9.4,78,50,https://www.thefork.co.uk/restaurant/bandra-bhai-cocktail-bar-r843976#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Grill on Fifth at Harrods,"87-135 Brompton Road, SW1X 7XL, London",Grill,55,9.2,361,50,https://www.thefork.co.uk/restaurant/the-grill-on-fifth-at-harrods-r835773#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Mate's restaurant,"Clapham Common South Side, SW4 9DW, London",Mediterranean,30,9.4,55,50,https://www.thefork.co.uk/restaurant/mate-s-restaurant-r831670#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Colonel Saab Trafalgar Square,"42 William IV Street, WC2N 4DD, London",Indian,40,9.2,1184,50,https://www.thefork.co.uk/restaurant/colonel-saab-trafalgar-square-r809882#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Kima,"57 Paddington Street, W1U 4JA, London",Greek,90,9.8,429,30,https://www.thefork.co.uk/restaurant/kima-r805706#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co - Putney,"82 Putney High Street, SW15 1RB, London",Japanese,20,9.4,511,40,https://www.thefork.co.uk/restaurant/the-sushi-co-putney-r813596#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Sagar - Percy Street,"17A Percy Street, W1T 1DU, London",Indian,25,9.0,399,50,https://www.thefork.co.uk/restaurant/sagar-percy-street-r723543#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Naroon Fitzrovia,"65 Great Titchfield Street, W1W, London",Iranian,25,9.3,1979,50,https://www.thefork.co.uk/restaurant/naroon-fitzrovia-r715002#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Carluccio's - Marriott Regents Park,"128 King Henry's Road, NW3 3ST, London",Italian,25,9.8,398,20,https://www.thefork.co.uk/restaurant/carluccio-s-marriott-regents-park-r736208#date=2026-02-28&rankedBy=SEARCH_ENGINE,0
The Sushi Co -  Tower Bridge,"112 Tower Bridge Road, SE1 3NG, London",Japanese,20,9.5,217,30,https://www.thefork.co.uk/restaurant/the-sushi-co-tower-bridge-r847800#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Moet & Chandon Champagne Bar at Harrods,"87-135 Brompton Road, SW1X 7XL, London",Mediterranean,46,9.3,14,50,https://www.thefork.co.uk/restaurant/moet-chandon-champagne-bar-at-harrods-r843722#date=2026-02-28&rankedBy=SEARCH_ENGINE,0
Antika Restaurant,"4 Lauderdale Road, W9 1LU, London",Persian,24,9.4,468,30,https://www.thefork.co.uk/restaurant/antika-restaurant-r804738#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Cafe Chibo,"29 Church Road, NW4 4EB, London",British,12,9.6,82,30,https://www.thefork.co.uk/restaurant/cafe-chibo-r801056#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Eastern Eye Balti House,"63A Brick Lane, E1 6QL, London",Indian,21,8.9,259,50,https://www.thefork.co.uk/restaurant/eastern-eye-balti-house-r746262#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Cecilia's,"42 Drury Lane, WC2E 9LB, London",Italian,25,9.1,144,50,https://www.thefork.co.uk/restaurant/cecilia-s-r827813#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gest,"152-156 North Gower Street, NW1 2LU, London",European,30,9.0,740,50,https://www.thefork.co.uk/restaurant/gest-r814647#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Midyeci,"505 Kingsland Road, E8 4AU, London",Mediterranean,29,9.7,80,30,https://www.thefork.co.uk/restaurant/the-midyeci-r840065#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Bamboo-Mat Stratford,"21-24 Victory Parade, E20 1FS, London",Japanese,35,9.5,822,30,https://www.thefork.co.uk/restaurant/bamboo-mat-stratford-r751438#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co -  Walthamstow,"216 Hoe Street, E17 3AY, London",Japanese,20,9.4,48,40,https://www.thefork.co.uk/restaurant/the-sushi-co-walthamstow-r847964#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Koh-i-noor Palace,"22 Station Parade, NW2 4NH, London",Indian,20,9.6,52,30,https://www.thefork.co.uk/restaurant/koh-i-noor-palace-r812395#date=2026-02-28&rankedBy=SEARCH_ENGINE,0
"Mimo's Lounge, Bar & Grill","141 Tooting High Street, SW17 0SY, London",Lebanese,15,9.5,76,30,https://www.thefork.co.uk/restaurant/mimo-s-lounge-bar-grill-r809296#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co - Lewisham,"286 Lewisham High Street, SE13 6JZ, London",Japanese,20,9.4,297,30,https://www.thefork.co.uk/restaurant/the-sushi-co-lewisham-r754354#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Et House,"Fortess Road, NW5 2HR, London",Eastern European,20,9.4,90,30,https://www.thefork.co.uk/restaurant/et-house-r695809#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Pan Asian Street Food,"29 Tooting High Street,  Broadway Market, SW17 0RJ, London",Asian,22,8.6,478,50,https://www.thefork.co.uk/restaurant/pan-asian-street-food-r821318#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Lantern,"21 Clerkenwell Road, EC1M 5RD, London",Chinese,20,8.9,483,50,https://www.thefork.co.uk/restaurant/lantern-r816512#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Dandy Bar at The Mayfair Townhouse,"27 Half Moon Street, W1J 7BH, London",British,23,8.9,410,50,https://www.thefork.co.uk/restaurant/the-dandy-bar-at-the-mayfair-townhouse-r815706#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gazette Brasserie Putney,"147 Upper Richmond Road, SW15, London",French,30,8.9,520,50,https://www.thefork.co.uk/restaurant/gazette-brasserie-putney-r746220#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Turmeric Kitchen Paddington,"Westbourne Terrace, W2 3UY, London",Indian,25,9.4,1789,30,https://www.thefork.co.uk/restaurant/turmeric-kitchen-paddington-r740044#date=2026-02-28&rankedBy=SEARCH_ENGINE,0
Pizzeria & Pasqua,"87-135 Brompton Road, SW1X 7XL, London",Italian,53,,,50,https://www.thefork.co.uk/restaurant/pizzeria-pasqua-r856907#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Harrods Café,"87-135 Brompton Road, SW1X 7XL, London",Mediterranean,35,9.2,5,50,https://www.thefork.co.uk/restaurant/harrods-cafe-r856256#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co - Streatham,"82 Streatham Hill, SW2 4RD, London",Japanese,24,9.1,237,40,https://www.thefork.co.uk/restaurant/the-sushi-co-streatham-r815751#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Zzetta-Soul Fired Pizza,"Barking Road 110, E16 1EH, London",Pizzeria,20,9.5,749,20,https://www.thefork.co.uk/restaurant/zzetta-soul-fired-pizza-r724370#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Azzurro - Waterloo,"Arches 145/146, SE1 7ND, London",Italian,34,8.7,245,50,https://www.thefork.co.uk/restaurant/azzurro-waterloo-r596009#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Amarte,"10 Cale Street, SW3 3QU, London",Colombian,40,9.2,159,50,https://www.thefork.co.uk/restaurant/amarte-r847933#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Riya Restaurant,"556 Kingsbury Road, NW9 9HJ, London",Indian,20,9.4,57,30,https://www.thefork.co.uk/restaurant/riya-restaurant-r850794#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Galleria Restaurant,"43-45 Porchester Road, W2 5DP, London",Iranian,25,9.3,145,30,https://www.thefork.co.uk/restaurant/galleria-restaurant-r834199#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Ayam Zaman,"258 Uxbridge Road, W12 7JA, London",Syrian,25,9.3,222,30,https://www.thefork.co.uk/restaurant/ayam-zaman-r824133#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Koka,"244 North End Road, SW6 1NL, London",European,24,9.3,165,30,https://www.thefork.co.uk/restaurant/koka-r818239#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Amalfi Lounge - Covent Garden,"59 Endell Street, WC2H 9AJ, London",Italian,20,9.2,661,30,https://www.thefork.co.uk/restaurant/amalfi-lounge-covent-garden-r712222#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Joon,"56 Warren Street, W1T 5NP, London",Fusion,20,9.4,297,30,https://www.thefork.co.uk/restaurant/joon-r841808#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gazzab,"245 Goldhawk Road, W12 8EU, London",Indian,25,9.4,192,30,https://www.thefork.co.uk/restaurant/gazzab-r834819#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Hana Persian Restaurant,"351 West End Lane, NW6 1LT, London",Mediterranean,24,9.3,311,30,https://www.thefork.co.uk/restaurant/hana-persian-restaurant-r804729#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Dub Pan,"Broadway Market Tooting, 29 Tooting High Street , SW17 0SP, London",Caribbean,25,9.2,15,50,https://www.thefork.co.uk/restaurant/dub-pan-r835725#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Enso lounge,"124 Brick Lane, E1 6RU, London",Thai,30,8.6,1802,50,https://www.thefork.co.uk/restaurant/enso-lounge-r755430#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Al Santo,"23 Vanston Place, SW6 1AZ , London",Italian,35,9.5,29,30,https://www.thefork.co.uk/restaurant/al-santo-r852905#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Afternoon Tea at TOKii,"50 Marble Arch, Great Cumberland Place, W1H 7FD, London",Afternoon Tea,50,9.3,60,30,https://www.thefork.co.uk/restaurant/afternoon-tea-at-tokii-r839832#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Brush East London Grande Café,"84 Great Eastern Street, EC2A 3DT, London",European,25,9.2,76,30,https://www.thefork.co.uk/restaurant/the-brush-east-london-grande-cafe-r827337#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Sushi Co - Marylebone,"48 Crawford Street, W1H 1JY, London",Japanese,20,9.1,310,30,https://www.thefork.co.uk/restaurant/the-sushi-co-marylebone-r814786#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Fitz’s Brasserie,"1-8 Russell Square, WC1B 5BE, London",British,45,9.2,147,30,https://www.thefork.co.uk/restaurant/fitz-s-brasserie-r813918#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Harrods Burgers,"87-135 Brompton Road, SW1X 7XL, London",American,45,8.9,12,50,https://www.thefork.co.uk/restaurant/harrods-burgers-r856056#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
The Parlour,"167 Stoke Newington Church Street, N16 0UL, London",Mediterranean,18,9.5,23,40,https://www.thefork.co.uk/restaurant/the-parlour-r806561#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Haven Grill,"34 Haven Green, W5 2NX, London",Turkish,25,9.5,346,20,https://www.thefork.co.uk/restaurant/haven-grill-r801153#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
Gourmet Sushi Holborn,"76 Southampton Row, WC1B 4AR, London",Asian,20,8.4,9,50,https://www.thefork.co.uk/restaurant/gourmet-sushi-holborn-r856160#date=2026-02-28&hour=780&partySize=5&rankedBy=SEARCH_ENGINE,0
